X,Y,Author(s),Year/Info,n,r,rxx,ryy
Extraversion,Academic Dishonesty,Giluk,,377,0.06,0.8242,0.795
Extraversion,Academic Dishonesty,Nguyen,,278,0.1,0.91,0.77
Extraversion,Academic Dishonesty,Noel,,302,0.01,0.8242,0.795
Extraversion,Academic Dishonesty,Salgado,,406,-0.21,0.89,0.87
Extraversion,Academic Dishonesty,Stanescu,,252,0.03,0.89,0.951
Neuroticism,Academic Dishonesty,Donat et al.,,179,-0.04,0.64,0.75
Neuroticism,Academic Dishonesty,Donat et al.,,203,0.03,0.64,0.77
Neuroticism,Academic Dishonesty,Fezatte,,310,-0.03,0.92,0.819
Neuroticism,Academic Dishonesty,"Williams, Nathanson, & Paulhus",,249,0.08,0.83,0.73
Neuroticism,Academic Dishonesty,"Williams, Nathanson, & Paulhus",,107,-0.04,0.8,0.57
Neuroticism,Academic Dishonesty,Gallagher,,207,0.17,0.79,0.8
Neuroticism,Academic Dishonesty,Jackson et al.,Gau,107,0.11,0.88,0.75
Neuroticism,Academic Dishonesty,Clariana,2013,620,0.126,0.76,0.82
Neuroticism,Academic Dishonesty,Karim,Gau,252,0.105,0.829,0.92
Neuroticism,Academic Dishonesty,Aslam,Gau,932,-0.027,0.547,0.867
Neuroticism,Academic Dishonesty,Greenberger,Gau,353,0.03,0.92,0.88
Neuroticism,Academic Dishonesty,Marcus,Gau,430,0.02,0.906,0.929
Neuroticism,Academic Dishonesty,Clark,,220,0.17,0.9,0.8
Neuroticism,Academic Dishonesty,Giluk,,377,0.02,0.7559,0.795
Neuroticism,Academic Dishonesty,Nguyen,,278,0.13,0.86,0.77
Neuroticism,Academic Dishonesty,Noel,,302,0.03,0.7559,0.795
Neuroticism,Academic Dishonesty,Salgado,,406,0,0.92,0.87
Neuroticism,Academic Dishonesty,Stanescu,,252,0.12,0.9,0.951
Neuroticism,Academic Dishonesty,Stone,,241,0.14,0.89,0.89
Openness,Academic Dishonesty,Clariana,2013,620,-0.018,0.65,0.82
Openness,Academic Dishonesty,Fezatte,,310,-0.14,0.87,0.819
Openness,Academic Dishonesty,"Williams, Nathanson, & Paulhus",,249,0.07,0.78,0.73
Openness,Academic Dishonesty,"Williams, Nathanson, & Paulhus",,107,-0.09,0.71,0.57
Openness,Academic Dishonesty,Gallagher,,205,0.18,0.8,0.8
Openness,Academic Dishonesty,Karim,Gau,252,-0.038,0.773,0.92
Openness,Academic Dishonesty,Aslam,Gau,932,-0.087,0.447,0.867
Openness,Academic Dishonesty,Marcus,Gau,430,-0.06,0.866,0.929
Openness,Academic Dishonesty,Clark,,220,-0.18,0.9,0.8
Openness,Academic Dishonesty,Giluk,,377,-0.11,0.8133,0.795
Openness,Academic Dishonesty,Nguyen,,278,-0.11,0.83,0.77
Openness,Academic Dishonesty,Noel,,302,-0.07,0.8133,0.795
Openness,Academic Dishonesty,Salgado,,406,-0.01,0.87,0.87
Openness,Academic Dishonesty,Stanescu,,252,-0.03,0.87,0.951
Agreeableness,Academic Dishonesty,Calriana,2013,620,-0.155,0.81,0.82
Agreeableness,Academic Dishonesty,Fezatte,,310,-0.24,0.86,0.819
Agreeableness,Academic Dishonesty,"Williams, Nathanson, & paulhus",,249,-0.23,0.81,0.73
Agreeableness,Academic Dishonesty,"Williams, Nathanson, & paulhus",,107,-0.2,0.77,0.57
Agreeableness,Academic Dishonesty,Gallagher,,207,0.04,0.8,0.75
Agreeableness,Academic Dishonesty,Karim,Gau,252,-0.114,0.714,0.92
Agreeableness,Academic Dishonesty,Aslam,Gau,932,-0.053,0.487,0.867
Agreeableness,Academic Dishonesty,Coyne,Gau,234,-0.01,0.74,0.72
Agreeableness,Academic Dishonesty,Staats,Gau,77,-0.39,0.93,0.716
Agreeableness,Academic Dishonesty,Marcus,Gau,430,0.02,0.884,0.929
Agreeableness,Academic Dishonesty,Clark,,220,-0.29,0.9,0.8
Agreeableness,Academic Dishonesty,Giluk,,377,-0.13,0.8105,0.795
Agreeableness,Academic Dishonesty,Nguyen,,278,-0.08,0.83,0.77
Agreeableness,Academic Dishonesty,Noel,,302,0.09,0.8105,0.795
Agreeableness,Academic Dishonesty,Salgado,,406,-0.14,0.86,0.87
Agreeableness,Academic Dishonesty,Stanescu,,252,-0.1,0.9,0.951
